amateur,業餘
athlete,運動員
coach,教練
competition,競爭
course,跑道
court,場
cup,杯
defeat,敗
draw,平局
event,賽事
fan,迷
field,場
goal,球門
half-time,半衰期
league,聯盟
lob,高球
opponent,對手
penalty,刑罰
pitch,投
professional,專業的
referee,裁判
serve,發球
shoot,射擊
spectator,觀眾
sportsmanship,體育精神
tackle,對付
tie,平局
tournament,比賽

abdominal,腹部的
absorption,吸收
acceleration,促進
active,活躍
activity,活動
adherence,附著
aerobic,有氧
agility,敏捷
anaerobic,厭氧
artery,動脈
balance,平衡
biceps,肱二頭肌
blood_pressure,血壓
body_composition,身體組成
body_mass_index,身體質量指數
bone,骨
calorie,熱量
cardiac,心臟的
cardiopulmonary,心肺
cardiorespiratory,心肺
cardiovascular,心血管
center_of_gravity,重心
centrifugal,離心
centripetal,向心力
circulatory,循環
cool-down,降溫
coordination,協調
dehydration,脫水
dexterity,靈巧
diet,飲食
effort,功夫
endurance,耐力
exercise,鍛煉
expenditure,支出
exposure,曝光
extend,延長
fitness,健身
FITT_principle,強度頻率種類時間原則 
flex,柔性
flexibility,靈活性
force,力
frequency,頻率
friction,摩擦
hamstring,腿筋
heart_rate,心臟率
individuality,個性
inertia,慣性
intensity,強度
lifestyle,生活方式
lifetime,一生
locomotor,移動的
mastery,征服
metabolic_rate,代謝率
moderate,溫和
momentum,勢頭
muscle,肌肉
muscular,肌肉發達
obesity,肥胖
overhand,上手
overload,超載
oxygen,氧
participation,參與
pectorals,胸肌
persistence,堅持
physical,物理
physiology,生理
power,功率
practice,實踐
progression,級數
pulse,脈衝
reaction_time,反應時間
recovery,復甦
regularity,規律性
repetition,重
resistance,阻力
skill,技能
specificity,特異性
speed,速度
steroids,類固醇
strength,實力
stretch,伸展
technique,技術
time,時間
triceps,肱三頭肌
type,類型
vein,靜脈
vigorous,蒼勁
warm-up,熱身
weight_training,重量訓練
workout,鍛煉

skip,跳躍
slide,滑
walk,走
underhand,陰招
turn_V,轉
twist_V,捻
track,追踪
throw,扔
sway,搖擺
swing,搖擺
step_V,一步
quick_feet,快速的腳步
reach_V,伸手
pinkies_and_thumbs,幼鼠和拇指
pass,通過
jog,慢跑
leap,飛躍
hop,跳
gallop,馳騁
follow_through_V,後續通過
catch_a_ball,接球

barbell,槓鈴
chinups,引體向上
curl-up,仰臥起坐
dumbbell,啞鈴
exercise_machine,運動機
good_form,好形式
gym,健身房
nutrition,營養
pushups,俯臥撑
sit-up,仰臥起坐

