B03200102
inspect,查看
alternation,交替
refuge,避難
classify,劃分
tuition,學費
deem,視為
provoke,引發
approve,贊成
swell,增加
submit,提交
perfume,香水
strain,壓力
slum,貧民窟
accomplish,達成
splendid,壯麗的

B03200046:
ending,結局
pirate,海盜
imaginary,想像出來的
plot, 情節
fable,寓言
edition,版本
imagination,想像力
illustration,插圖
series,系列
shepherd,牧羊人
dramatic,戲劇性的
imaginary,可想像的
moral,寓意
literature,文學作品
imaginative,富想像力的

B03200078:
owe,欠債
penalty,處罰
badge,名牌
recipient,收件者
evaluate,考核
full,time 全職的
generate,產生
intern,實習生
folder,檔案夾
down,當機
maeble,大理石
lease,租用
lawn,草皮
leak,漏洞
soil,泥土

B03200029:
barbecue,烤肉
autumn,秋天
centimeter,公分
chopstick,筷子
dumpling,餃子
envelope,信封
flute,長笛
glue,膠水
hen,公雞
square,正方形
straight,正直的
watermelon,西瓜
substance,物質
candidate,候選人
president,總統

B03200097:
liabilities,負債
monopoly,獨占
vision,願景
assets,資產
subsidiary,子公司
compensation,薪水
feedback,反饋意見
deficit,赤字
coworker,同事
board,董事會
forward,轉寄
recession,經濟不景氣
subordinate,部屬
boycott,聯合抵制
smuggling,走私

B03200012:
panda,熊貓
crocodile,鱷魚
peacock,孔雀
hedgehog,刺蝟
skunk,臭鼬
goose,鵝
leopard,豹
cheetah,獵豹
lizard,蜥蜴
squirrel,松鼠
koala,無尾熊
penguin,企鵝
donkey,驢子
polar, bear北極熊 
ibis,紅鶴



B02200088:
basic,基本的
eager,渴望
assume,假設
range,範圍
studio,工作室
coach,教練
role,角色
blind,盲的
sight,視力
album,專輯
release,發行
campus,校園
theory,理論
resource,資源
retail,零售

May:
float,漂浮
coast,海岸
cloak,斗蓬
soak,浸泡
approach,接近
roast,烤
toast,吐司
foam,泡沫
throat,喉嚨
oath,誓言
coal,煤
ego,自我
poke,戳
quote,引用
sole,唯一

B02200052:
tempo,節奏
psychologist,心理學家
blossom,開花
output,產能
interest,興趣
classical,古典的
punctual,準時的
net,網子
area,區域
brew,煮
eventually,最後
shepherd,牧羊人
stable,穩定
trait,特徵
expert,專家

B02200061:
gaze,視
complex,結
crop,物
winery,酒廠
soil,土
potential,能性
absorb,收
humidity,度
relieve,除
blur,糊形狀
agreeable,切的
halt,停
paradise,園
scheme,畫
impress,下深刻印象

B02202202:
clothes,衣服,服裝
wardrobe,服裝
clothing,服裝
habit,個人依習慣.身份而著的服裝
ready-made clothes ready-to-wear clothes,成衣
garments,外衣
town clothes,外衣
double-breasted suit,雙排扣外衣
suit,男外衣
dress,女服
tailored suit,女式西服
everyday clothes,便服
three-piece suit,三件套
trousseau,嫁妝
layette,嬰兒的全套服裝 

B02200069:
speculate,臆測,猜測
contemplate,考量,打算
enterprise,企業
reckon,認為,估計
carefree,無憂無慮的
tuition,學費
meditation,冥想
penetrate,洞察,理解
literally,照字面意思地
trifle,小事
classify,分類
consolation,安慰
destined,注定的
despicable,令人厭惡的
deem,認為
